Código,Nome,Repac./ Venc.,Índice/ Correção,Taxa de Compra,Taxa de Venda,Taxa Indicativa,Desvio Padrão,Intervalo Indicativo Min.,Intervalo Indicativo Máx.,PU,% Pu Par,Duration,% Reune,Referência NTN-B
ACRC21,ATLAS LUIZ CARLOS COMERCIALIZADORA DE ENERGIA S.A. (*),15/07/2044,"IPCA + 7,415%",7.3632,6.9949,7.1879,0.1138,7.0741,7.3018,1034.406943,101.8368,2173.98,0.35,15/05/2035
AEAB11,AES CAJUINA AB1 HOLDINGS S.A. (*),15/06/2044,"IPCA + 7,0718%",7.2144,6.8156,7.0276,0.2138,6.8138,7.2416,1170.961578,100.3413,2081.09,0.1,15/05/2035
AEGP23,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*) (**),15/07/2025,"IPCA + 7,0825%",--,--,9.5619,0.0889,9.4731,9.6509,6878.079473,98.1997,200,,15/05/2025
AESL17,RGE SUL DISTRIBUIDORA DE ENERGIA S/A,15/08/2025,"IPCA + 5,8%",6.0006,5.5935,5.7274,0.0958,5.6316,5.8233,694.538305,100.0598,219.52,,15/05/2025
AESLA5,RGE SUL DISTRIBUIDORA DE ENERGIA S/A (*),15/10/2033,"IPCA + 6,1774%",6.7365,6.4084,6.5517,0.1267,6.425,6.6784,1044.613068,97.8209,1574.48,,15/08/2032
AESLA7,RGE SUL DISTRIBUIDORA DE ENERGIA S/A (*),15/04/2034,"IPCA + 6,1409%",6.7261,6.4676,6.5741,0.1542,6.4199,6.7285,1006.110805,97.3469,1659.43,,15/05/2033
AESLB7,RGE SUL DISTRIBUIDORA DE ENERGIA S/A (*),15/04/2039,"IPCA + 6,2031%",6.5793,6.3965,6.4772,0.0594,6.4179,6.5367,1009.711279,97.6746,2292.7,,15/08/2040
AESOA1,AES TIETE ENERGIA S/A (*),15/03/2038,"IPCA + 6,4966%",6.8986,6.6268,6.7519,0.1018,6.6501,6.8537,1028.414485,98.4427,1647.75,,15/05/2033
AGVF12,AGRO INDUSTRIAS DO VALE DO SAO FRANCISCO SA - AGROVALE (*),15/08/2027,"IPCA + 6,7686%",7.1368,6.7786,6.9602,0.2772,6.683,7.2375,1191.037343,99.6827,446.49,,15/08/2026
ALGA27,ALGAR TELECOM S/A,15/03/2025,"IPCA + 5,5395%",6.4341,5.9522,6.1635,0.0923,6.0712,6.2559,703.480654,99.7243,118,,
ALGAB1,ALGAR TELECOM S/A (*),15/07/2031,"IPCA + 4,9999%",7.2751,6.809,7.0115,0.1316,6.8799,7.1433,1101.266683,90.9585,1251.63,0.1,15/08/2030
ALGAC2,ALGAR TELECOM S/A (*),15/01/2032,"IPCA + 5,8806%",7.3656,6.8164,7.0123,0.2751,6.7373,7.2875,1086.346009,94.5746,1317.17,,15/08/2030
ALGE16,ALIANCA GERACAO DE ENERGIA S.A (*),15/11/2037,"IPCA + 6,1451%",6.8947,6.5215,6.7307,0.0908,6.6398,6.8216,1026.263854,96.7161,1519.14,0.05,15/08/2032
ALGTA4,ALGAR TELECOM S/A (*),15/11/2033,"IPCA + 6,3243%",7.2553,6.8327,7.0579,0.105,6.9529,7.163,1017.071568,95.9689,1502.19,,15/08/2032
