Código,Nome,Repac./ Venc.,Índice/ Correção,Taxa de Compra,Taxa de Venda,Taxa Indicativa,Desvio Padrão,Intervalo Indicativo Min.,Intervalo Indicativo Máx.,PU,% Pu Par,Duration,% Reune,Referência NTN-B
ACRC21,ATLAS LUIZ CARLOS COMERCIALIZADORA DE ENERGIA S.A. (*),15/07/2044,"IPCA + 7,415%",7.4829,7.2018,7.2389,0.2661,6.9728,7.5051,1029.61417,101.4207,2171.94,,15/05/2035
AEAB11,AES CAJUINA AB1 HOLDINGS S.A. (*),15/06/2044,"IPCA + 7,0718%",7.228,6.9808,7.0948,0.1052,6.9897,7.2001,1164.288519,99.8231,2076.94,0.35,15/05/2035
AEGP23,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*) (**),15/07/2025,"IPCA + 7,0825%",--,--,9.6566,0.1625,9.4941,9.8191,6869.02403,98.1232,201,,15/05/2025
AESL17,RGE SUL DISTRIBUIDORA DE ENERGIA S/A,15/08/2025,"IPCA + 5,8%",6.0167,5.6815,5.8189,0.1566,5.6623,5.9756,693.674865,99.9844,220.52,,15/05/2025
AESLA5,RGE SUL DISTRIBUIDORA DE ENERGIA S/A (*),15/10/2033,"IPCA + 6,1774%",6.8442,6.5498,6.7055,0.1167,6.5888,6.8222,1034.707372,96.9421,1572.83,,15/08/2032
AESLA7,RGE SUL DISTRIBUIDORA DE ENERGIA S/A (*),15/04/2034,"IPCA + 6,1409%",6.8256,6.5062,6.6481,0.1233,6.5248,6.7714,1001.002565,96.9014,1659,,15/05/2033
AESLB7,RGE SUL DISTRIBUIDORA DE ENERGIA S/A (*),15/04/2039,"IPCA + 6,2031%",6.7286,6.4537,6.565,0.0312,6.5338,6.5963,1001.656415,96.9444,2288.85,,15/08/2040
AESOA1,AES TIETE ENERGIA S/A (*),15/03/2038,"IPCA + 6,4966%",6.9852,6.7332,6.8183,0.1453,6.673,6.9637,1023.703965,98.0424,1646.64,0.05,15/05/2033
AGVF12,AGRO INDUSTRIAS DO VALE DO SAO FRANCISCO SA - AGROVALE (*),15/08/2027,"IPCA + 6,7686%",7.3018,6.9365,7.0989,0.0906,7.0084,7.1896,1187.667019,99.4529,447.32,,15/08/2026
ALGA27,ALGAR TELECOM S/A,15/03/2025,"IPCA + 5,5395%",6.4763,5.9942,6.2017,0.0874,6.1143,6.2891,703.007259,99.7051,119,,
ALGAB1,ALGAR TELECOM S/A (*),15/07/2031,"IPCA + 4,9999%",7.42,6.9901,7.1435,0.1001,7.0434,7.2437,1093.956195,90.3962,1251.73,0.35,15/08/2030
