Código,Nome,Repac./ Venc.,Índice/ Correção,Taxa de Compra,Taxa de Venda,Taxa Indicativa,Desvio Padrão,Intervalo Indicativo Min.,Intervalo Indicativo Máx.,PU,% Pu Par,Duration,% Reune,Referência NTN-B
TPEN11,TPE - TRANSMISSORA PARAÍSO DE ENERGIA S.A. (*) (**),15/09/2028,"IPCA + 6,5333%",6.8759,6.1709,6.5318,0.298,6.2338,6.83,1156.205446,100.004,712.33,0.15,15/05/2027
TPNO12,MATRINCHA TRANSMISSORA DE ENERGIA  TP NORTE SA,15/06/2029,"IPCA + 7,5826%",6.8776,6.4858,6.5633,0.1722,6.3911,6.7356,1029.713065,102.0184,531.5,,15/05/2027
TPNO13,MATRINCHA TRANSMISSORA DE ENERGIA  TP NORTE SA (*),15/12/2038,"IPCA + 4,9335%",7.1091,6.8123,7.0017,0.1056,6.8961,7.1075,1041.900742,86.0144,1896.96,,15/05/2035
TRCC11,TCC - TRANSMISSORA CAMINHO DO CAFÉ S.A.,15/09/2028,"IPCA + 6,5333%",6.863,6.1328,6.5178,0.1794,6.3384,6.6973,1156.635072,100.0411,712.38,,15/05/2027
TRGO11,ARGO TRANSMISSAO DE ENERGIA S.A.,15/12/2031,"IPCA + 7,0176%",7.0384,6.6569,6.8198,0.2041,6.6156,7.024,1248.693967,100.6197,842.55,,15/08/2028
TRPLA4,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA - CTEEP (*),15/10/2033,"IPCA + 6,2607%",6.8146,6.2473,6.5408,0.0883,6.4525,6.6293,1052.381948,98.2935,1644.98,,15/05/2033
TRPLB4,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA - CTEEP (*),15/10/2038,"IPCA + 6,4364%",6.7832,6.4004,6.5678,0.1151,6.4527,6.683,1059.970504,98.9263,2201.41,,15/05/2035
TSSG21,TRANSPORTADORA ASSOCIADA DE GAS S.A. - TAG (*),15/12/2033,"IPCA + 5,9851%",6.6667,6.3586,6.4901,0.0487,6.4414,6.5389,1022.307134,96.9778,1622.58,,15/08/2032
TVVH11,TVV TERMINAL DE VILA VELHA S.A. (*),15/11/2033,"IPCA + 6,8596%",7.003,6.7243,6.8316,0.22,6.6116,7.0518,987.301107,100.098,942.1,0.1,15/05/2029
UHSM12,UHE SAO SIMAO ENERGIA S/A,15/10/2036,"IPCA + 5,8198%",6.8039,6.4681,6.6171,0.1111,6.506,6.7284,1136.047556,94.3529,1938.62,,15/05/2035
UNEG11,UTE GNA I GERACAO DE ENERGIA S.A. (*),15/07/2039,"IPCA + 5,92%",8.2217,7.747,8.0512,0.1858,7.8653,8.2371,1103.28264,85.9667,1866.9,0.05,15/05/2035
UNTE11,UNIFIQUE TELECOMUNICACOES S.A. (*),15/03/2028,"IPCA + 5,3418%",7.0231,6.2984,6.8202,0.6234,6.1968,7.4436,804.202322,97.476,460.12,,15/08/2026
