Código,Nome,Repac./ Venc.,Índice/ Correção,Taxa de Compra,Taxa de Venda,Taxa Indicativa,Desvio Padrão,Intervalo Indicativo Min.,Intervalo Indicativo Máx.,PU,% Pu Par,Duration,% Reune,Referência NTN-B
CEPEC2,COMPANHIA ENERGÉTICA DE PERNAMBUCO - CELPE (*),15/04/2032,"IPCA + 6,2792%",6.7493,6.4555,6.5782,0.0481,6.5302,6.6264,1118.222043,98.5269,1329.59,,15/08/2030
CESE32,CELSE - CENTRAIS ELETRICAS DE SERGIPE S.A. (*),15/09/2030,"IPCA + 7,4941%",6.8494,6.4856,6.6581,0.1664,6.4917,6.8245,1083.166453,103.6329,1154.21,,15/08/2030
CESPA2,CESP-COMPANHIA ENERGETICA DE SAO PAULO (*) (**),15/08/2030,"IPCA + 4,3%",6.756,6.4242,6.6176,0.0842,6.5335,6.7019,1191.110745,90.8136,1100.01,0.35,15/05/2029
CESPA3,CESP-COMPANHIA ENERGETICA DE SAO PAULO (*),15/04/2034,"IPCA + 6,1661%",6.6646,6.3383,6.5216,0.0749,6.4467,6.5966,1020.249559,97.8299,1650.36,,15/05/2033
CGASB1,COMPANHIA DE GAS DE SÃO PAULO - COMGAS (*),15/07/2039,"IPCA + 6,4504%",6.522,6.256,6.3831,0.039,6.3441,6.4222,1021.133055,100.5872,2334.87,,15/08/2040
CGMG18,COMPANHIA DE GÁS DE MINAS GERAIS - GASMIG,15/08/2031,"IPCA + 5,27%",6.8175,6.5744,6.6756,0.1245,6.5511,6.8002,1118.474839,95.4096,886.15,,15/08/2028
CGOS13,EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S.A. (*),15/04/2031,"IPCA + 7,1%",6.8843,6.5224,6.6919,0.1096,6.5822,6.8016,1103.601694,101.7378,1138.8,,15/08/2030
CGOS16,EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S.A. (*),15/05/2036,"IPCA + 6,4895%",6.9111,6.6417,6.7417,0.1013,6.6404,6.8431,1008.95913,98.2638,1862.21,,15/05/2035
CGOS24,EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S.A. (*),15/10/2031,"IPCA + 6,4407%",6.8724,6.5457,6.6981,0.0925,6.6056,6.7907,1057.933894,98.8163,1241.18,,15/08/2030
CGOS34,EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S.A. (*),15/10/2035,"IPCA + 6,6789%",6.9502,6.6215,6.7568,0.1321,6.6247,6.889,1066.25367,99.4919,1757.6,,15/05/2033
CHSF13,COMPANHIA HIDRO ELETRICA DO SAO FRANCISCO - CHESF (*),15/06/2031,"IPCA + 6,767%",6.8506,6.6423,6.7185,0.0677,6.6507,6.7863,1028.376991,100.2453,1358.95,0.5,15/08/2030
CJEN13,TESC-TERMINAL SANTA CATARINA S/A (*),15/12/2035,"IPCA + 8,1693%",7.968,7.5892,7.7947,0.0353,7.7593,7.8301,1186.631871,101.7046,1232.07,0.35,15/08/2030
CLAG13,COLOMBO AGROINDUSTRIA SA (*),15/07/2028,"IPCA + 5,4806%",7.0828,6.7401,6.944,0.0522,6.8917,6.9963,1169.687107,96.5161,647.01,0.35,15/05/2027
CLCD26,CELESC DISTRIBUIÇÃO S/A (*),15/11/2030,"IPCA + 6,5279%",6.9316,6.5634,6.724,0.133,6.591,6.8572,1054.667831,99.2097,1086.62,,15/05/2029
CLCD27,CELESC DISTRIBUIÇÃO S/A (*),15/07/2034,"IPCA + 6,9534%",6.8887,6.647,6.7422,0.0695,6.6727,6.8118,1027.387664,101.2956,1643.16,0.35,15/05/2033
CLNG11,CALANGO 6 ENERGIA RENOVAVEL S.A.,27/06/2028,"IPCA + 8,7345%",7.143,6.6826,6.9138,0.0944,6.8194,7.0083,956.115204,102.2868,338.98,,15/08/2026
CLTM14,CONCESSIONARIA DAS LINHAS 8 E 9 DO SISTEMA DE TRENS METROPOLITANOS DE SAO PAULO S.A. (*),15/01/2042,"IPCA + 7,25%",7.9715,7.644,7.7559,0.1378,7.618,7.8938,999.482874,96.8338,1711.49,0.45,15/05/2033
CMDT33,CEMIG DISTRIBUIÇÃO S/A,15/02/2025,"IPCA + 5,1%",--,--,6.4431,0.5447,5.8984,6.9879,492.778073,99.5024,99,,
CMGD27,CEMIG DISTRIBUIÇÃO S/A,15/06/2026,"IPCA + 4,1%",6.0617,5.7234,5.861,0.1189,5.7421,5.98,1327.232208,98.0562,294.34,,15/05/2025
CMGD28,CEMIG DISTRIBUIÇÃO S/A (*),15/06/2029,"IPCA + 6,1052%",6.7875,6.3674,6.5489,0.1283,6.4206,6.6774,1086.88161,98.4696,930.64,,15/08/2028
CMGDB0,CEMIG DISTRIBUIÇÃO S/A (*),15/02/2034,"IPCA + 6,1469%",6.7292,6.3785,6.5271,0.1186,6.4085,6.6458,1000.798733,97.6676,1660.11,,15/05/2033
CMIN11,CSN MINERACAO S.A. (*),15/07/2031,"IPCA + 4,879%",7.2061,6.8057,6.9873,0.1272,6.8602,7.1146,1082.937673,89.192,1439.06,,15/08/2032
CMIN12,CSN MINERACAO S.A.,15/07/2032,"IPCA + 6,8798%",7.2937,6.8243,7.0532,0.118,6.9352,7.1714,1092.395463,99.0206,1528.75,0.35,15/08/2032
CMIN21,CSN MINERACAO S.A. (*),15/07/2036,"IPCA + 5,021%",--,--,7.4158,0.1774,7.2384,7.5933,1015.860217,83.6441,1962.57,,15/05/2035
CMIN22,CSN MINERACAO S.A.,15/07/2037,"IPCA + 7,0673%",7.5306,7.0557,7.2264,0.2164,7.01,7.4429,1090.453801,98.8088,2030.44,,15/05/2035
CMTR29,CEMIG GERAÇÃO E TRANSMISSÃO S/A (*),15/12/2029,"IPCA + 7,6245%",6.8015,6.4613,6.6315,0.0696,6.5619,6.7012,1151.954235,104.0771,1089.16,,15/05/2029
CNRD11,CONCESSIONARIA DA RODOVIA MS 306 S.A. (*) (**),15/12/2035,IPCA + 6%,7.9553,7.5347,7.6858,0.1547,7.531,7.8406,1163.11562,91.3531,1423.62,,15/08/2032
COCE18,COMPANHIA ENERGÉTICA DO CEARÁ - COELCE (*),15/05/2032,"IPCA + 6,2137%",6.7487,6.508,6.6212,0.1461,6.4751,6.7674,1093.230549,97.9637,1351.69,,15/08/2030
COMR14,COMERC PARTICIPACOES S.A. (*),15/11/2038,"IPCA + 7,9171%",7.2906,6.7629,6.9203,0.4579,6.4624,7.3784,1121.876639,105.8448,1561.2,0.15,15/08/2032
COMR15,COMERC PARTICIPACOES S.A. (*),15/04/2040,"IPCA + 7,2209%",7.0627,6.6686,6.8884,0.1405,6.7479,7.0289,1064.096787,101.9593,1582.28,0.45,15/08/2032
CONF11,CONFLUENCIA ENERGIA S/A (*),15/11/2041,"IPCA + 6,6018%",7.1412,6.766,6.9812,0.0411,6.9401,7.0224,1189.567581,97.5588,1742.41,,15/05/2033
CONX12,TRIPLE PLAY BRASIL PARTICIPACOES S.A. (*),15/08/2029,"IPCA + 7,684%",--,10.5462,11.3776,0.2411,11.1365,11.6188,995.700259,90.5342,736.26,0.45,15/05/2027
CPFGA2,CPFL TRANSMISSAO S.A (*),15/05/2031,"IPCA + 6,0265%",6.8686,6.4966,6.7365,0.1324,6.6041,6.869,1080.726371,96.907,1183.7,,15/08/2030
CPFPA0,COMPANHIA PIRATININGA DE FORÇA E LUZ,15/08/2025,"IPCA + 5,8%",6.0398,5.5721,5.8072,0.0694,5.7378,5.8767,694.422089,99.9941,218.52,,15/05/2025
CPFPA5,COMPANHIA PIRATININGA DE FORÇA E LUZ (*),15/10/2033,"IPCA + 6,1774%",6.7594,6.4185,6.5208,0.1247,6.3961,6.6456,1047.048884,97.9996,1574.01,,15/08/2032
CPFPA7,COMPANHIA PIRATININGA DE FORÇA E LUZ (*),15/04/2034,"IPCA + 6,235%",6.7192,6.4043,6.5259,0.1256,6.4003,6.6516,1018.591638,98.2195,1652.8,,15/05/2033
CPFPB7,COMPANHIA PIRATININGA DE FORÇA E LUZ (*),15/04/2039,"IPCA + 6,3018%",6.6827,6.4338,6.5889,0.0242,6.5647,6.6132,1011.838537,97.5857,2275.41,,15/05/2035
CPGT15,COPEL GERAÇÃO E TRANSMISSÃO S/A,15/09/2025,"IPCA + 7,6475%",6.1027,5.6463,5.7507,0.0722,5.6785,5.8231,280.043216,101.697,238.55,,15/05/2025
CPGT26,COPEL GERAÇÃO E TRANSMISSÃO S/A,15/07/2025,"IPCA + 3,9%",5.9085,5.4099,5.6253,0.071,5.5543,5.6963,1330.04962,98.7232,196.61,,15/05/2025
CPGT27,COPEL GERAÇÃO E TRANSMISSÃO S/A (*),15/10/2031,"IPCA + 5,7138%",6.92,6.5717,6.7178,0.1084,6.6095,6.8263,1135.71098,95.3634,1261.3,,15/08/2030
CPGT28,COPEL GERAÇÃO E TRANSMISSÃO S/A (*),15/01/2035,"IPCA + 6,8226%",6.9378,6.4289,6.6873,0.0715,6.6158,6.7589,1100.119484,100.8835,1750.49,,15/05/2033
CPLD26,COPEL DISTRIBUICAO S/A (*),15/06/2031,"IPCA + 4,7742%",6.7224,6.2428,6.4535,0.159,6.2945,6.6126,1133.167671,92.4397,1240.35,,15/08/2030
CPLD29,COPEL DISTRIBUICAO S/A (*),15/05/2036,"IPCA + 6,2831%",6.7135,6.4272,6.513,0.0663,6.4466,6.5794,1013.251883,98.5159,1740.7,0.1,15/05/2033
CPLD37,COPEL DISTRIBUICAO S/A (*),15/05/2032,"IPCA + 6,1732%",6.6904,6.3696,6.5018,0.0983,6.4035,6.6002,1094.592579,98.351,1354.23,,15/08/2030
CPTM15,LIGGA TELECOMUNICACOES S.A (*),15/09/2030,"IPCA + 8,8507%",12.1965,11.8719,11.9195,0.2524,11.6671,12.172,981.957239,89.3254,1014.54,,15/05/2029
CPXB22,ETC - EMPRESA TRANSMISSORA CAPIXABA S.A (*),15/09/2025,"IPCA + 6,1675%",6.1779,5.7104,5.8541,0.1609,5.6932,6.0151,692.883602,100.2812,239.34,,15/05/2025
CRMG15,CONCESSIONÁRIA DA RODOVIA MG-050 S/A (*),15/12/2030,"IPCA + 5,9668%",7.8644,7.4036,7.6416,0.0543,7.5872,7.696,1019.79994,94.9888,818.25,,15/08/2028
CSAN33,COSAN S.A. (*),15/08/2031,"IPCA + 5,7531%",--,--,7.9174,0.0313,7.8861,7.9488,1091.569542,90.4046,1246.95,,15/08/2030
CSMGA2,CIA DE SANEAMENTO DE M.GERAIS COPASA MG (*) (**),15/01/2026,"IPCA + 5,2737%",5.9803,5.355,5.7375,0.144,5.5935,5.8815,534.859322,99.6575,196.55,,15/05/2025
CSMGA6,CIA DE SANEAMENTO DE M.GERAIS COPASA MG (*),15/09/2031,"IPCA + 5,2306%",6.7264,6.2213,6.4496,0.2254,6.2242,6.6751,993.565017,95.9888,890.15,,15/08/2028
CSMGB4,CIA DE SANEAMENTO DE M.GERAIS COPASA MG (*) (**),15/06/2026,"IPCA + 4,3%",6.8998,6.3208,6.6059,0.2996,6.3063,6.9056,663.71185,97.9775,234.61,,15/05/2025
CSMGB8,CIA DE SANEAMENTO DE M.GERAIS COPASA MG (*),15/09/2030,"IPCA + 7,1%",7.3818,6.9383,7.1752,0.0823,7.0929,7.2576,1042.570611,99.759,866.01,,15/08/2028
CSMGB9,CIA DE SANEAMENTO DE M.GERAIS COPASA MG (*),15/07/2034,"IPCA + 7,2735%",7.4965,7.1252,7.3593,0.0397,7.3196,7.3992,1015.220282,99.6057,1244.49,,15/08/2030
CSMGC3,CIA DE SANEAMENTO DE M.GERAIS COPASA MG (*) (**),15/07/2025,"IPCA + 6,501%",--,--,6.6596,0.5028,6.1568,7.1625,466.110832,99.92,135.5,,15/05/2025
CSNAA4,COMPANHIA SIDERÚRGICA NACIONAL (*),15/07/2030,"IPCA + 6,5%",7.8452,7.3714,7.6395,0.1938,7.4457,7.8334,1008.497696,94.9957,1211.86,,15/08/2030
CSNAA5,COMPANHIA SIDERÚRGICA NACIONAL (*),15/04/2034,"IPCA + 6,83%",7.6213,7.2234,7.4305,0.0611,7.3694,7.4917,1003.081892,96.4713,1608.99,,15/08/2032
CSNAB4,COMPANHIA SIDERÚRGICA NACIONAL (*),15/07/2033,"IPCA + 6,8%",7.6922,7.2415,7.4672,0.2443,7.2228,7.7116,1022.916396,96.298,1521.27,,15/08/2032
CSNAB5,COMPANHIA SIDERÚRGICA NACIONAL (*),15/04/2039,"IPCA + 6,9924%",7.8063,7.3364,7.6361,0.072,7.5642,7.7082,987.643241,94.9298,2167.84,,15/05/2035
CSNAC4,COMPANHIA SIDERÚRGICA NACIONAL (*),15/07/2038,IPCA + 7%,--,--,7.9281,0.2075,7.7206,8.1357,987.814035,92.9575,2108.39,,15/05/2035
CSNP12,COMPANHIA ENERGÉTICA SINOP S.A. (*) (**),15/06/2032,"IPCA + 7,9461%",7.9825,7.4082,7.7157,0.1027,7.613,7.8185,1303.732101,100.7865,925.31,,15/08/2028
