Código,Nome,Repac./ Venc.,Índice/ Correção,Taxa de Compra,Taxa de Venda,Taxa Indicativa,Desvio Padrão,Intervalo Indicativo Min.,Intervalo Indicativo Máx.,PU,% Pu Par,Duration,% Reune,Referência NTN-B
ACRC21,ATLAS LUIZ CARLOS COMERCIALIZADORA DE ENERGIA S.A. (*),15/07/2044,"IPCA + 7,415%",7.3766,7.1101,7.1656,0.0376,7.128,7.2034,1036.826223,102.0189,2174.31,0.45,15/05/2035
AEAB11,AES CAJUINA AB1 HOLDINGS S.A. (*),15/06/2044,"IPCA + 7,0718%",7.1802,6.8883,7.0441,0.0558,6.9884,7.1,1170.09934,100.2136,2078.83,0.05,15/05/2035
AEGP23,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*) (**),15/07/2025,"IPCA + 7,0825%",--,--,9.613,0.0558,9.5572,9.6689,6879.868543,98.1725,199,,15/05/2025
AESL17,RGE SUL DISTRIBUIDORA DE ENERGIA S/A,15/08/2025,"IPCA + 5,8%",6.0341,5.6534,5.795,0.1227,5.6723,5.9178,694.491532,100.0041,218.52,,15/05/2025
AESLA5,RGE SUL DISTRIBUIDORA DE ENERGIA S/A (*),15/10/2033,"IPCA + 6,1774%",6.7303,6.4389,6.5608,0.0964,6.4644,6.6573,1044.59691,97.7701,1573.32,,15/08/2032
AESLA7,RGE SUL DISTRIBUIDORA DE ENERGIA S/A (*),15/04/2034,"IPCA + 6,1409%",6.7161,6.4158,6.5409,0.0506,6.4903,6.5916,1008.69928,97.5484,1659.07,,15/05/2033
AESLB7,RGE SUL DISTRIBUIDORA DE ENERGIA S/A (*),15/04/2039,"IPCA + 6,2031%",6.5921,6.3601,6.484,0.0516,6.4324,6.5357,1009.64491,97.6189,2291.32,,15/08/2040
AESOA1,AES TIETE ENERGIA S/A (*),15/03/2038,"IPCA + 6,4966%",6.8749,6.6369,6.7259,0.1365,6.5894,6.8625,1030.594324,98.6005,1647.58,,15/05/2033
AGVF12,AGRO INDUSTRIAS DO VALE DO SAO FRANCISCO SA - AGROVALE (*),15/08/2027,"IPCA + 6,7686%",7.1686,6.8111,6.9594,0.0922,6.8672,7.0518,1191.688013,99.6848,445.5,,15/08/2026
ALGA27,ALGAR TELECOM S/A,15/03/2025,"IPCA + 5,5395%",6.4595,5.9794,6.1428,0.1658,5.977,6.3087,703.898504,99.7357,117,,
ALGAB1,ALGAR TELECOM S/A (*),15/07/2031,"IPCA + 4,9999%",7.2634,6.8381,7.0288,0.0864,6.9424,7.1153,1100.972267,90.8924,1250.51,0.05,15/08/2030
ALGAC2,ALGAR TELECOM S/A (*),15/01/2032,"IPCA + 5,8806%",7.3295,6.787,7.0519,0.0639,6.988,7.1159,1084.829158,94.3961,1315.82,,15/08/2030
ALGE16,ALIANCA GERACAO DE ENERGIA S.A (*),15/11/2037,"IPCA + 6,1451%",6.9415,6.526,6.755,0.0359,6.7191,6.791,1025.395327,96.5857,1517.29,,15/08/2032
ALGTA4,ALGAR TELECOM S/A (*),15/11/2033,"IPCA + 6,3243%",7.2311,6.8847,7.0743,0.0867,6.9877,7.1611,1016.689362,95.884,1500.93,,15/08/2032
ALIG12,ALIANCA GERACAO DE ENERGIA S.A,15/12/2029,"IPCA + 3,65%",6.6735,6.212,6.4333,0.255,6.1784,6.6884,916.908654,93.6944,612.15,,15/05/2027
ALIG13,ALIANCA GERACAO DE ENERGIA S.A (*),15/02/2035,IPCA + 4%,6.6649,6.3677,6.5271,0.1659,6.3612,6.6931,905.562317,88.8889,1210.1,,15/08/2030
ALIG15,ALIANCA GERACAO DE ENERGIA S.A (*),15/04/2036,"IPCA + 6,1305%",6.7412,6.4415,6.5757,0.0779,6.4978,6.6537,1031.787545,97.7511,1363.3,,15/08/2030
ANET11,AMERICA NET S.A. (*),15/03/2029,"IPCA + 5,6006%",8.5857,8.0189,8.2237,0.1976,8.0261,8.4214,809.1054,94.5932,565.87,,15/05/2027
ANET12,AMERICA NET S.A. (*),15/11/2030,"IPCA + 8,9619%",8.5893,8.1287,8.4249,0.4405,7.9844,8.8656,1142.480521,101.8648,944.14,0.35,15/05/2029
APFD19,AUTOPISTA FERNAO DIAS S/A (*),15/09/2031,"IPCA + 6,3854%",7.2905,6.8873,7.0786,0.0583,7.0203,7.137,1069.032001,97.419,1011.8,,15/05/2029
APRB18,AUTOPISTA REGIS BITTENCOURT S/A,15/06/2031,"IPCA + 4,5%",7.1403,6.7816,6.9538,0.0937,6.8601,7.0477,1246.530658,90.3887,1086.65,,15/05/2029
ARTR19,ARTERIS S/A (*) (**),15/09/2027,"IPCA + 4,8392%",--,--,7.0449,0.2192,6.8257,7.2642,1224.649504,95.2556,587.3,0.35,15/05/2027
ASCP13,CONCESS. ROD. A. S. E C. PINTO S/A - ECOPISTAS (*),15/03/2030,"IPCA + 7,55%",6.8983,6.5638,6.7317,0.0432,6.6886,6.775,1045.211298,102.4669,806.42,,15/08/2028
ASCP23,CONCESS. ROD. A. S. E C. PINTO S/A - ECOPISTAS (*),15/03/2035,"IPCA + 8,15%",7.0361,6.6699,6.8362,0.0663,6.7699,6.9026,1146.238229,108.1404,1627.42,,15/08/2032
ASER12,AGUAS DO SERTAO S.A. (*),15/12/2043,"IPCA + 8,4051%",8.4418,8.0245,8.2161,0.0647,8.1514,8.2809,1095.064938,101.5169,2180.09,0.35,15/05/2035
ASSR21,ASSURUA 5 ENERGIA S.A (*),15/06/2041,"IPCA + 7,1071%",7.5509,7.2175,7.3611,0.1264,7.2347,7.4876,1021.757358,98.4888,1611.9,,15/08/2032
AURE12,AUREN ENERGIA S.A. (*),15/04/2034,"IPCA + 6,298%",7.0494,6.7159,6.8895,0.1231,6.7664,7.0127,1002.041552,96.438,1641.27,,15/05/2033
BARU11,BARUERI ENERGIA RENOVAVEL S.A. (*),15/03/2043,"IPCA + 7,7959%",7.9123,7.4455,7.6362,0.1061,7.53,7.7424,1027.769384,101.3947,2357.66,0.35,15/08/2040
BCPSA5,CLARO S/A,15/03/2029,"IPCA + 5,7687%",6.7098,6.4465,6.6037,0.0394,6.5642,6.6432,987.321495,96.927,999.12,0.35,15/05/2029
BHSA11,BARREIRAS HOLDING S.A. (*),15/03/2044,"IPCA + 6,8413%",7.1832,6.9128,6.9453,0.1913,6.754,7.1367,1042.086636,99.204,2065.83,,15/05/2035
BLMN12,BELO MONTE TRANSMISSORA DE ENERGIA SPE S.A.,15/12/2031,"IPCA + 7,1358%",6.8252,6.4609,6.6225,0.1108,6.5116,6.7334,1250.261051,101.4918,779.35,0.45,15/08/2028
BRFS31,BRF S/A,30/04/2026,"IPCA + 5,5%",10.7221,7.9754,9.3081,0.6022,8.7059,9.9105,N/D,N/D,N/D,,15/08/2026
BRKP28,BRK AMBIENTAL PARTICIPACOES S/A (*),15/09/2034,"IPCA + 5,5365%",8.1878,7.6146,7.9244,0.1509,7.7735,8.0755,1121.612866,86.3066,1639.92,,15/05/2033
BRST11,BRISANET SERVICOS DE TELECOMUNICACOES S.A. (*),15/03/2028,"IPCA + 5,7694%",7.0203,6.7463,6.8859,0.1431,6.7428,7.0291,1206.77319,98.0805,463.84,,15/08/2026
CAEC12,COMPANHIA DE AGUA E ESGOTO DO CEARA - CAGECE (*),15/06/2036,"IPCA + 8,1891%",8.1504,7.5951,7.8825,0.0881,7.7944,7.9707,1045.318686,102.0751,1828.85,,15/05/2035
CAEC21,COMPANHIA DE AGUA E ESGOTO DO CEARA - CAGECE (*),15/03/2029,"IPCA + 5,4058%",7.7305,7.3555,7.4734,0.0889,7.3845,7.5625,1166.012264,94.4263,741.51,0.35,15/05/2027
CAJS11,CONCESSIONARIA AGUAS DE JUTURNAIBA S/A,15/11/2040,"IPCA + 5,4%",7.0808,6.7163,6.9141,0.2971,6.617,7.2112,1110.747806,90.6801,1689.93,,15/05/2033
CAJS12,CONCESSIONARIA AGUAS DE JUTURNAIBA S/A (*),15/09/2037,"IPCA + 6,85%",6.8619,6.4637,6.6877,0.2537,6.4339,6.9415,1063.725428,100.7908,1308.24,,15/08/2030
CART12,CONCESSIONÁRIA AUTO RAPOSO TAVARES S/A (*) (**),15/12/2024,"IPCA + 5,8%",--,--,6.0883,0.1953,5.893,6.2837,611.708393,99.9395,56,,
CART13,CONCESSIONÁRIA AUTO RAPOSO TAVARES S/A (*),15/12/2035,"IPCA + 6,8138%",7.049,--,6.7991,0.0803,6.7188,6.8795,11757.036576,100.0697,1275.85,0.35,15/08/2030
CART22,CONCESSIONÁRIA AUTO RAPOSO TAVARES S/A (*) (**),15/12/2024,"IPCA + 6,05%",--,--,8.0789,1.0004,7.0785,9.0795,610.626169,99.5798,56,,
CASN23,COMPANHIA CATARINENSE DE AGUAS E SANEAMENTO - CASAN (*),16/11/2033,"IPCA + 10,3294%",9.6732,8.6188,9.181,0.7164,8.4646,9.8975,1121.254305,104.2676,1014.31,0.35,15/05/2029
CBAN12,CONCESSIONÁRIA ROTA DAS BANDEIRAS S/A,15/07/2034,IPCA + 5%,7.1218,6.7394,6.8843,0.0777,6.8067,6.9621,1335.699816,90.5721,1388.25,,15/08/2030
CBAN32,CONCESSIONÁRIA ROTA DAS BANDEIRAS S/A,15/07/2034,"IPCA + 5,2%",7.1332,6.7277,6.8911,0.1608,6.7303,7.0521,1356.008387,91.5481,1382.15,,15/08/2030
CBAN52,CONCESSIONÁRIA ROTA DAS BANDEIRAS S/A,15/07/2034,"IPCA + 5,2%",7.0956,6.682,6.854,0.0995,6.7545,6.9537,1358.59321,91.7226,1382.73,,15/08/2030
CBAN72,CONCESSIONÁRIA ROTA DAS BANDEIRAS S/A,15/07/2034,"IPCA + 5,2%",7.1352,6.79,6.9385,0.0543,6.8842,6.993,1352.715971,91.3258,1381.41,,15/08/2030
CCLS11,CICLUS AMBIENTAL DO BRASIL S.A. (*),15/01/2031,"IPCA + 6,6739%",7.9402,7.337,7.6844,0.2035,7.4809,7.888,1121.843079,95.2634,1292.77,,15/08/2030
CCRDD1,CCR S/A (*) (**),15/11/2024,IPCA + 6%,--,--,7.9775,0.236,7.7414,8.2136,726.911938,99.729,37,,
CCROA5,CCR S/A (*),15/11/2033,"IPCA + 4,8791%",6.8343,6.5864,6.716,0.0503,6.6656,6.7664,964.493825,90.2954,1458.59,,15/08/2032
CCROB4,CCR S/A (*) (**),15/12/2028,"IPCA + 4,25%",6.6951,6.3572,6.5108,0.1698,6.341,6.6808,1230.379304,95.698,511.28,,15/08/2026
CCROB6,CCR S/A (*),15/01/2036,"IPCA + 6,437%",6.7746,6.5084,6.6533,0.0725,6.5808,6.726,1133.89003,98.6596,1672.25,,15/05/2033
CEAD11,CEA II CENTRAIS EOLICAS ASSURUA II SPE S/A,15/06/2030,"IPCA + 6,6605%",6.9707,6.7,6.8185,0.3294,6.4891,7.148,977.411156,99.6058,671.97,,15/05/2027
CEAP12,COMPANHIA DE ELETRICIDADE DO AMAPA - CEA (*) (**),15/07/2030,"IPCA + 6,5%",6.8488,6.6027,6.6818,0.0944,6.5874,6.7763,1052.697462,99.2384,1129.02,,15/05/2029
CEAP14,COMPANHIA DE ELETRICIDADE DO AMAPA - CEA (*),15/12/2033,"IPCA + 6,75%",7.0256,6.6907,6.8648,0.0701,6.7947,6.9349,1046.145647,99.3249,1587.09,,15/08/2032
CEAR25,COMPANHIA ENERGÉTICA DO CEARÁ - COELCE,15/12/2024,"IPCA + 6,0013%",--,--,6.3568,0.0633,6.2935,6.4202,723.358783,99.9256,56,,
CEAR26,COMPANHIA ENERGÉTICA DO CEARÁ - COELCE,15/06/2025,"IPCA + 6,1965%",6.088,5.9164,5.9927,0.2675,5.7253,6.2603,713.603116,100.1337,175.3,,15/05/2025
CEEBA1,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA,15/08/2025,"IPCA + 6,2214%",--,--,6.1162,0.1487,5.9675,6.2651,462.671127,100.0859,218.28,,15/05/2025
CEEBB6,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*),15/08/2030,"IPCA + 6,25%",6.6939,6.4629,6.574,0.0434,6.5306,6.6175,1039.075697,98.6102,1157.42,,15/08/2030
CEEBB7,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*),15/11/2033,"IPCA + 6,1%",6.8589,6.5759,6.7085,0.0958,6.6127,6.8043,1020.374525,96.4335,1595.08,,15/08/2032
CEEBC3,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*),15/10/2031,"IPCA + 5,8224%",6.7722,6.4701,6.5977,0.0571,6.5406,6.6549,1154.419217,96.4087,1259.21,,15/08/2030
CEEBC4,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*),15/04/2032,"IPCA + 6,2792%",6.7948,6.4504,6.6258,0.0336,6.5922,6.6595,1115.59121,98.2951,1329.08,,15/08/2030
CEED12,COMPANHIA ESTADUAL DE DISTRIBUICAO DE ENERGIA ELETRICA - CEEE D (*),15/12/2029,"IPCA + 7,1498%",6.9307,6.62,6.7655,0.0758,6.6898,6.8414,1121.903264,101.5758,1097.58,,15/05/2029
CEED13,COMPANHIA ESTADUAL DE DISTRIBUICAO DE ENERGIA ELETRICA - CEEE D (*),15/07/2030,"IPCA + 6,5%",6.9056,6.5837,6.7124,0.079,6.6334,6.7915,1051.225777,99.111,1128.85,,15/05/2029
CEED15,COMPANHIA ESTADUAL DE DISTRIBUICAO DE ENERGIA ELETRICA - CEEE D,15/05/2036,"IPCA + 6,5596%",6.9805,6.5279,6.6721,0.1569,6.5152,6.8291,1017.334791,99.2225,1862.5,,15/05/2035
CEED21,COMPANHIA ESTADUAL DE DISTRIBUICAO DE ENERGIA ELETRICA - CEEE D,15/08/2029,"IPCA + 5,4409%",6.836,6.5574,6.7155,0.0686,6.6469,6.7842,1146.827676,95.4124,982.97,,15/05/2029
CEMT19,ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,15/09/2025,"IPCA + 5,0797%",6.1894,5.7415,5.9803,0.2303,5.75,6.2108,454.467415,99.1907,239.95,,15/05/2025
CEPE19,COMPANHIA ENERGÉTICA DE PERNAMBUCO - CELPE,15/07/2025,"IPCA + 6,0352%",5.914,5.5246,5.7445,0.1105,5.6339,5.8551,466.478033,100.2131,195.39,,15/05/2025
CEPEB3,COMPANHIA ENERGÉTICA DE PERNAMBUCO - CELPE (*),15/11/2033,"IPCA + 6,1%",6.8226,6.578,6.6714,0.0486,6.6228,6.7201,1022.623357,96.646,1595.71,,15/08/2032
CEPEC1,COMPANHIA ENERGÉTICA DE PERNAMBUCO - CELPE (*),15/10/2031,"IPCA + 5,875%",6.7626,6.4697,6.6054,0.029,6.5764,6.6345,1157.196054,96.6187,1257.64,,15/08/2030
