Código,Nome,Repac./ Venc.,Índice/ Correção,Taxa de Compra,Taxa de Venda,Taxa Indicativa,Desvio Padrão,Intervalo Indicativo Min.,Intervalo Indicativo Máx.,PU,% Pu Par,Duration,% Reune,Referência NTN-B
ACRC21,ATLAS LUIZ CARLOS COMERCIALIZADORA DE ENERGIA S.A. (*),15/07/2044,"IPCA + 7,415%",7.4295,7.1164,7.183,0.0453,7.1377,7.2284,1035.543095,101.8753,2172.27,0.5,15/05/2035
AEAB11,AES CAJUINA AB1 HOLDINGS S.A. (*),15/06/2044,"IPCA + 7,0718%",7.2855,6.9096,7.0836,0.0462,7.0374,7.1298,1166.731038,99.9093,2074.8,,15/05/2035
AEGP23,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*) (**),15/07/2025,"IPCA + 7,0825%",--,--,9.5485,0.0594,9.4891,9.608,6884.779851,98.227,198,,15/05/2025
AESL17,RGE SUL DISTRIBUIDORA DE ENERGIA S/A,15/08/2025,"IPCA + 5,8%",5.9481,5.4854,5.6972,0.0657,5.6315,5.763,695.122966,100.0839,217.52,,15/05/2025
AESLA5,RGE SUL DISTRIBUIDORA DE ENERGIA S/A (*),15/10/2033,"IPCA + 6,1774%",6.7872,6.4426,6.569,0.0782,6.4908,6.6473,1044.240734,97.7246,1572.18,,15/08/2032
AESLA7,RGE SUL DISTRIBUIDORA DE ENERGIA S/A (*),15/04/2034,"IPCA + 6,1409%",6.7343,6.432,6.5584,0.0547,6.5037,6.6132,1007.749299,97.4445,1657.74,,15/05/2033
AESLB7,RGE SUL DISTRIBUIDORA DE ENERGIA S/A (*),15/04/2039,"IPCA + 6,2031%",6.6985,6.429,6.5239,0.07,6.4538,6.594,1006.351723,97.2883,2288.12,,15/08/2040
AESOA1,AES TIETE ENERGIA S/A (*),15/03/2038,"IPCA + 6,4966%",6.8929,6.683,6.7805,0.1123,6.6682,6.8929,1027.306885,98.2726,1644.84,,15/05/2033
AGVF12,AGRO INDUSTRIAS DO VALE DO SAO FRANCISCO SA - AGROVALE (*),15/08/2027,"IPCA + 6,7686%",7.289,6.9282,7.0922,0.0647,7.0275,7.157,1189.266133,99.4676,444.33,,15/08/2026
ALGA27,ALGAR TELECOM S/A,15/03/2025,"IPCA + 5,5395%",6.4311,5.9518,6.1615,0.0866,6.0749,6.2482,703.928336,99.7299,116,,
ALGAB1,ALGAR TELECOM S/A (*),15/07/2031,"IPCA + 4,9999%",7.3117,6.8263,6.9962,0.1097,6.8866,7.106,1102.809243,91.0367,1249.74,,15/08/2030
ALGAC2,ALGAR TELECOM S/A (*),15/01/2032,"IPCA + 5,8806%",7.3674,6.8212,7.0892,0.0765,7.0127,7.1659,1083.029733,94.2288,1314.49,,15/08/2030
