Código,Nome,Repac./ Venc.,Índice/ Correção,Taxa de Compra,Taxa de Venda,Taxa Indicativa,Desvio Padrão,Intervalo Indicativo Min.,Intervalo Indicativo Máx.,PU,% Pu Par,Duration,% Reune,Referência NTN-B,sheet_name,data
AEGPA4,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),25/10/2028,"DI + 3,47%",2.4917,2.2704,2.3718,0.0444,2.3274,2.4163,1083.39492,102.5968,607.27,,,DI_SPREAD,20240927
AEGPA7,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),15/09/2026,"DI + 2,75%",2.0833,1.8,1.9502,0.1246,1.8256,2.075,1018.482184,101.3852,443.82,,,DI_SPREAD,20240927
AEGPA9,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),25/06/2029,"DI + 2,75%",2.4541,2.1839,2.3134,0.1037,2.2097,2.4172,1046.623744,101.3589,799.9,,,DI_SPREAD,20240927
AEGPB7,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),15/09/2028,"DI + 2,95%",2.3291,2.1,2.2056,0.0793,2.1262,2.285,1025.201696,102.047,704.71,,,DI_SPREAD,20240927
AERI11,AERIS INDUSTRIA E COMERCIO DE EQUIPAMENTOS PARA GERACAO DE ENERGIA S.A,15/01/2026,"DI + 2,9%",12.8957,9.9378,12.2748,2.3402,9.9346,14.6151,642.66695,93.7962,182.48,,,DI_SPREAD,20240927
AERI12,AERIS INDUSTRIA E COMERCIO DE EQUIPAMENTOS PARA GERACAO DE ENERGIA S.A,31/07/2026,DI + 2%,13.2488,10.7169,13.0197,2.8693,10.1504,15.8891,896.745833,87.9126,313.29,,,DI_SPREAD,20240927
AESB11,AES BRASIL ENERGIA S.A. (*) (**),10/03/2025,"DI + 2,3%",1.6281,1.4465,1.4663,0.4369,1.0293,1.9033,307.791887,100.3578,110,,,DI_SPREAD,20240927
AETE11,AETE - AMAZONIA EMPRESA TRANSMISSORA DE ENERGIA S.A. (*) (**),10/09/2026,"DI + 2,7%",2,1.5,1.75,0,1.75,1.75,658.00419,101.4305,385.53,,,DI_SPREAD,20240927
AGAU13,AGASUS S.A. (*),15/03/2027,"DI + 4,5%",4.3402,3.7507,4.0092,0.0867,3.9225,4.096,1013.338171,100.8123,433.3,,,DI_SPREAD,20240927
ALGA19,ALGAR TELECOM S/A (*) (**),10/10/2024,"DI + 0,7%",0.5,0.1026,0.2898,0.0367,0.2531,0.3266,1052.128898,100.0146,9,,,DI_SPREAD,20240927
ALGA28,ALGAR TELECOM S/A,15/02/2026,"DI + 0,9%",0.648,0.4635,0.5336,0.0452,0.4884,0.5788,10165.213222,100.3064,212,,,DI_SPREAD,20240927
ALGAA1,ALGAR TELECOM S/A (*),15/07/2028,"DI + 1,6%",1.0002,0.6301,0.8031,0.13,0.6731,0.9332,1046.814097,102.1318,676.15,,,DI_SPREAD,20240927
